customerID,Contract,MonthlyCharges,tenure,PaymentMethod,TotalCharges
0000-ID,Two year,65.89,52,Electronic check,3426.28
0001-ID,Month-to-month,63.6,1,Bank transfer (automatic),63.6
0002-ID,Two year,105.6,40,Credit card (automatic),4224.0
0003-ID,Two year,71.52,21,Electronic check,1501.92
0004-ID,Month-to-month,65.28,15,Mailed check,979.2
0005-ID,Month-to-month,59.53,50,Bank transfer (automatic),2976.5
0006-ID,Two year,100.42,48,Mailed check,4820.16
0007-ID,One year,108.2,32,Credit card (automatic),3462.4
0008-ID,Two year,104.0,49,Mailed check,5096.0
0009-ID,Two year,85.94,68,Credit card (automatic),5843.92
0010-ID,Two year,32.05,45,Credit card (automatic),1442.25
0011-ID,Two year,46.08,32,Electronic check,1474.56
0012-ID,Month-to-month,22.88,4,Credit card (automatic),91.52
0013-ID,Two year,111.8,65,Mailed check,7267.0
0014-ID,One year,84.66,71,Electronic check,6010.86
0015-ID,Month-to-month,93.26,65,Credit card (automatic),6061.9
0016-ID,One year,49.56,18,Bank transfer (automatic),892.08
0017-ID,One year,103.24,54,Bank transfer (automatic),5574.96
0018-ID,One year,44.34,47,Credit card (automatic),2083.98
0019-ID,One year,18.42,6,Electronic check,110.52
0020-ID,Month-to-month,56.08,66,Electronic check,3701.28
0021-ID,Month-to-month,75.61,9,Electronic check,680.49
0022-ID,One year,66.36,68,Mailed check,4512.48
0023-ID,One year,104.89,23,Bank transfer (automatic),2412.47
0024-ID,Month-to-month,28.84,43,Credit card (automatic),1240.12
0025-ID,Month-to-month,73.91,51,Credit card (automatic),3769.41
0026-ID,Month-to-month,69.8,25,Bank transfer (automatic),1745.0
0027-ID,Two year,46.53,35,Mailed check,1628.55
0028-ID,Two year,100.88,17,Electronic check,1714.96
0029-ID,Two year,93.91,18,Bank transfer (automatic),1690.38
0030-ID,One year,91.9,27,Credit card (automatic),2481.3
0031-ID,Two year,106.31,15,Mailed check,1594.65
0032-ID,One year,90.89,69,Credit card (automatic),6271.41
0033-ID,One year,41.55,15,Electronic check,623.25
0034-ID,Two year,89.16,42,Bank transfer (automatic),3744.72
0035-ID,One year,49.17,34,Electronic check,1671.78
