Country,Area
Russia,29.3
China,21.5
India,7.4
Kazakhstan,5.8
Saudi Arabia,4.8
Iran,3.7
Mongolia,3.5
Indonesia,3.3
Pakistan,2.0
Turkey,1.7
Myanmar,1.5
Afghanistan,1.5
Thailand,1.2
Turkmenistan,1.1
Yemen,1.0
Uzbekistan,1.0
Iraq,1.0
Japan,0.8
Vietnam,0.7
Malaysia,0.7
Oman,0.7
Philippines,0.7
Laos,0.5
Kyrgyzstan,0.4
Syria,0.4
Cambodia,0.4
Bangladesh,0.3
Nepal,0.3
Tajikistan,0.3
North Korea,0.3
South Korea,0.2
Jordan,0.2
United Arab Emirates,0.2
Azerbaijan,0.2
Georgia (country),0.2
Sri Lanka,0.1
Egypt,0.1
Bhutan,0.1
Taiwan,0.1
Armenia,0.1
Israel,0.05
Kuwait,0.04
Timor-Leste,0.03
Qatar,0.03
Lebanon,0.02
Cyprus,0.02
Palestine,0.01
Brunei,0.01
Northern Cyprus,0.01
Hong Kong,0.01
Bahrain,0.002
Singapore,0.002
Maldives,0.001
Macau,0.0003
